Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
2.87002, 0, 0, 2.87002, 0.167849, 1, 0, 
2.87999, 0, 0, 2.87999, 0.164187, 1, 0, 
2.88997, 0, 0, 2.88997, 0.164187, 1, 0, 
2.89994, 0, 0, 2.89994, 0.16907, 1, 0, 
2.90991, 0, 0, 2.90991, 0.165408, 1, 0, 
2.91988, 0, 0, 2.91988, 0.164187, 1, 0, 
2.92985, 0, 0, 2.92985, 0.16907, 1, 0, 
2.93983, 0, 0, 2.93983, 0.166629, 1, 0, 
2.9498, 0, 0, 2.9498, 0.167849, 1, 0, 
2.95977, 0, 0, 2.95977, 0.164187, 1, 0, 
2.96974, 0, 0, 2.96974, 0.166629, 1, 0, 
2.97972, 0, 0, 2.97972, 0.165408, 1, 0, 
2.98969, 0, 0, 2.98969, 0.167849, 1, 0, 
2.99966, 0, 0, 2.99966, 0.16907, 1, 0, 
3.00963, 0, 0, 3.00963, 0.167849, 1, 0, 
3.0196, 0, 0, 3.0196, 0.175174, 1, 0, 
3.02958, 0, 0, 3.02958, 0.171511, 1, 0, 
3.03955, 0, 0, 3.03955, 0.16907, 1, 0, 
3.04952, 0, 0, 3.04952, 0.167849, 1, 0, 
3.05949, 0, 0, 3.05949, 0.16907, 1, 0, 
3.06947, 0, 0, 3.06947, 0.176394, 1, 0, 
3.07944, 0, 0, 3.07944, 0.170291, 1, 0, 
3.08942, 0, 0, 3.08942, 0.173953, 1, 0, 
3.09938, 0, 0, 3.09938, 0.16907, 1, 0, 
3.10935, 0, 0, 3.10935, 0.171511, 1, 0, 
3.11933, 0, 0, 3.11933, 0.171511, 1, 0, 
3.1293, 0, 0, 3.1293, 0.167849, 1, 0, 
3.13927, 0, 0, 3.13927, 0.175174, 1, 0, 
3.14924, 0, 0, 3.14924, 0.172732, 1, 0, 
3.15922, 0, 0, 3.15922, 0.173953, 1, 0, 
3.16919, 0, 0, 3.16919, 0.170291, 1, 0, 
3.17916, 0, 0, 3.17916, 0.176394, 1, 0, 
3.18913, 0, 0, 3.18913, 0.171511, 1, 0, 
3.19911, 0, 0, 3.19911, 0.176394, 1, 0, 
3.20908, 0, 0, 3.20908, 0.170291, 1, 0, 
3.21905, 0, 0, 3.21905, 0.172732, 1, 0, 
3.22902, 0, 0, 3.22902, 0.177615, 1, 0, 
3.23899, 0, 0, 3.23899, 0.176394, 1, 0, 
3.24897, 0, 0, 3.24897, 0.176394, 1, 0, 
3.25894, 0, 0, 3.25894, 0.177615, 1, 0, 
3.26891, 0, 0, 3.26891, 0.177615, 1, 0, 
3.27888, 0, 0, 3.27888, 0.177615, 1, 0, 
3.28886, 0, 0, 3.28886, 0.178836, 1, 0, 
3.29883, 0, 0, 3.29883, 0.178836, 1, 0, 
3.3088, 0, 0, 3.3088, 0.176394, 1, 0, 
3.31877, 0, 0, 3.31877, 0.181277, 1, 0, 
3.32874, 0, 0, 3.32874, 0.180056, 1, 0, 
3.33872, 0, 0, 3.33872, 0.173953, 1, 0, 
3.34869, 0, 0, 3.34869, 0.176394, 1, 0, 
3.35866, 0, 0, 3.35866, 0.176394, 1, 0, 
3.36863, 0, 0, 3.36863, 0.181277, 1, 0, 
3.37861, 0, 0, 3.37861, 0.177615, 1, 0, 
3.38858, 0, 0, 3.38858, 0.178836, 1, 0, 
3.39855, 0, 0, 3.39855, 0.178836, 1, 0, 
3.40852, 0, 0, 3.40852, 0.177615, 1, 0, 
3.4185, 0, 0, 3.4185, 0.182498, 1, 0, 
3.42847, 0, 0, 3.42847, 0.176394, 1, 0, 
3.43844, 0, 0, 3.43844, 0.178836, 1, 0, 
3.44841, 0, 0, 3.44841, 0.182498, 1, 0, 
3.45838, 0, 0, 3.45838, 0.180056, 1, 0, 
3.46836, 0, 0, 3.46836, 0.182498, 1, 0, 
3.47833, 0, 0, 3.47833, 0.183719, 1, 0, 
3.4883, 0, 0, 3.4883, 0.180056, 1, 0, 
3.49827, 0, 0, 3.49827, 0.182498, 1, 0, 
3.50825, 0, 0, 3.50825, 0.183719, 1, 0, 
3.51822, 0, 0, 3.51822, 0.18616, 1, 0, 
3.52819, 0, 0, 3.52819, 0.184939, 1, 0, 
3.53816, 0, 0, 3.53816, 0.180056, 1, 0, 
3.54813, 0, 0, 3.54813, 0.18616, 1, 0, 
3.55811, 0, 0, 3.55811, 0.181277, 1, 0, 
3.56808, 0, 0, 3.56808, 0.18616, 1, 0, 
3.57805, 0, 0, 3.57805, 0.182498, 1, 0, 
3.58802, 0, 0, 3.58802, 0.18616, 1, 0, 
3.598, 0, 0, 3.598, 0.184939, 1, 0, 
3.60797, 0, 0, 3.60797, 0.181277, 1, 0, 
3.61794, 0, 0, 3.61794, 0.184939, 1, 0, 
3.62791, 0, 0, 3.62791, 0.183719, 1, 0, 
3.63789, 0, 0, 3.63789, 0.182498, 1, 0, 
3.64786, 0, 0, 3.64786, 0.184939, 1, 0, 
3.65783, 0, 0, 3.65783, 0.187381, 1, 0, 
3.6678, 0, 0, 3.6678, 0.187381, 1, 0, 
3.67777, 0, 0, 3.67777, 0.187381, 1, 0, 
3.68775, 0, 0, 3.68775, 0.187381, 1, 0, 
3.69772, 0, 0, 3.69772, 0.188602, 1, 0, 
3.70769, 0, 0, 3.70769, 0.18616, 1, 0, 
3.71766, 0, 0, 3.71766, 0.18616, 1, 0, 
3.72764, 0, 0, 3.72764, 0.189822, 1, 0, 
3.73761, 0, 0, 3.73761, 0.191043, 1, 0, 
3.74758, 0, 0, 3.74758, 0.187381, 1, 0, 
3.75755, 0, 0, 3.75755, 0.187381, 1, 0, 
3.76752, 0, 0, 3.76752, 0.18616, 1, 0, 
3.7775, 0, 0, 3.7775, 0.189822, 1, 0, 
3.78747, 0, 0, 3.78747, 0.191043, 1, 0, 
3.79744, 0, 0, 3.79744, 0.189822, 1, 0, 
3.80741, 0, 0, 3.80741, 0.192264, 1, 0, 
3.81739, 0, 0, 3.81739, 0.187381, 1, 0, 
